State,Month,Temperature,Humidity,Rainfall,LAI,Population_Density,Heat_Index,Season,Lagged_Rainfall,Urban_Risk,Disease
Jharkhand,June,37.2,79.1,35.2,1.27,284,66.33,Monsoon,18.6,Medium,Typhoid
Tripura,October,22.4,95.6,44.7,0.99,132,22.4,Post-Monsoon,215.3,Low,Cholera
Bihar,December,17.5,58.5,8.6,1.07,842,25.97,Winter,21.2,Low,Dengue
Andhra Pradesh,May,40.5,73.8,20.6,0.5,222,78.44,Summer,32.0,Medium,Typhoid
Assam,September,29.3,97.0,48.1,0.65,1938,40.13,Monsoon,232.9,Medium,Cholera
Jharkhand,May,34.8,71.3,10.4,1.05,265,50.34,Summer,29.7,Medium,Malaria
Sikkim,October,10.5,76.1,71.6,1.57,2483,33.25,Post-Monsoon,136.6,Medium,Malaria
Tamil Nadu,March,33.8,64.6,0.3,0.5,450,43.58,Summer,2.8,Medium,Heatstroke
Meghalaya,November,15.4,85.0,7.0,1.46,1283,21.12,Post-Monsoon,14.9,Low,Cholera
Delhi,May,33.3,52.2,5.3,0.55,993,37.58,Summer,14.7,Medium,Malaria
Delhi,November,20.9,43.2,2.4,0.87,642,25.08,Post-Monsoon,71.1,Medium,Heatstroke
Sikkim,August,14.1,88.7,420.0,6.16,539,20.83,Monsoon,36.9,Low,Dengue
Telangana,March,33.7,50.0,18.8,0.5,361,37.74,Summer,18.1,Medium,Typhoid
Assam,March,25.5,77.7,3.1,0.53,396,26.71,Summer,28.5,Medium,Malaria
Assam,February,22.3,70.0,12.7,0.5,2377,23.69,Winter,14.2,Medium,Malaria
Tripura,January,21.0,66.9,19.5,1.04,108,23.65,Winter,22.7,Low,Typhoid
Goa,June,38.0,97.0,50.5,0.62,2511,88.9,Monsoon,8.3,Medium,Typhoid
Gujarat,June,45.2,71.2,120.7,1.29,1312,102.77,Monsoon,12.8,Low,Dengue
Madhya Pradesh,March,31.8,51.1,10.8,1.11,170,34.26,Summer,26.5,Medium,Heatstroke
Delhi,September,23.9,64.4,82.3,1.04,1386,25.07,Monsoon,14.3,Low,Typhoid
Punjab,November,16.3,47.4,27.0,1.21,2226,27.55,Post-Monsoon,36.8,Medium,Typhoid
Nagaland,May,33.6,61.7,27.4,0.5,319,41.77,Summer,19.1,Low,Typhoid
Kerala,July,35.2,97.0,420.0,6.4,313,70.42,Monsoon,28.4,Medium,Malaria
Manipur,February,19.5,66.4,9.2,0.66,211,23.84,Winter,9.1,Low,Typhoid
Punjab,May,33.7,54.3,1.9,0.5,1894,39.2,Summer,18.3,Medium,Heatstroke
Uttarakhand,November,10.9,55.6,7.0,0.87,291,35.75,Post-Monsoon,38.3,Low,Typhoid
Tripura,August,33.2,97.0,95.6,2.14,1055,58.83,Monsoon,172.5,Medium,Typhoid
Uttarakhand,August,20.8,83.2,100.3,2.88,3105,20.8,Monsoon,90.6,Medium,Dengue
Goa,March,29.5,66.6,51.7,1.61,1747,33.15,Summer,30.9,Medium,Typhoid
Punjab,January,13.4,34.3,1.4,0.5,2439,28.63,Winter,20.1,Low,Typhoid
Sikkim,August,15.0,90.2,240.7,3.01,1890,19.09,Monsoon,43.9,Medium,Malaria
Bihar,September,27.7,83.6,87.3,2.66,430,31.86,Monsoon,173.6,Medium,Heatstroke
Goa,August,31.4,97.0,226.8,3.16,1377,49.56,Monsoon,305.4,Low,Dengue
Haryana,June,31.6,76.0,26.7,0.5,1369,41.39,Monsoon,31.4,Low,Cholera
Tripura,February,17.7,76.7,48.5,1.91,953,22.34,Winter,2.2,Low,Typhoid
Assam,July,26.7,97.0,31.6,1.12,249,30.5,Monsoon,32.5,Low,Dengue
Tamil Nadu,December,25.5,63.8,13.4,0.95,627,26.5,Winter,32.2,Low,Heatstroke
Tripura,July,29.5,97.0,95.6,1.35,1985,40.96,Monsoon,121.9,Medium,Malaria
Rajasthan,March,30.2,23.9,30.5,1.68,315,30.2,Summer,1.7,Medium,Typhoid
Uttarakhand,August,24.6,80.3,31.8,0.99,86,25.22,Monsoon,83.6,Medium,Typhoid
Madhya Pradesh,December,16.2,43.8,7.7,0.53,160,27.5,Winter,56.9,Low,Typhoid
Madhya Pradesh,April,38.1,56.4,95.1,1.74,6499,52.87,Summer,3.5,Medium,Heatstroke
West Bengal,August,31.8,97.0,148.3,2.15,540,51.53,Monsoon,291.3,Low,Malaria
Telangana,September,32.0,90.2,211.5,2.94,459,49.05,Monsoon,1.5,Medium,Cholera
Nagaland,February,15.0,67.6,9.1,1.04,1191,27.17,Winter,7.0,Low,Typhoid
Haryana,February,18.0,36.5,5.1,0.87,649,25.72,Winter,12.3,Medium,Heatstroke
Manipur,September,22.6,94.5,304.5,5.04,9043,22.6,Monsoon,32.8,Medium,Malaria
Delhi,December,17.0,38.5,11.5,0.51,2926,26.46,Winter,5.5,Medium,Dengue
Gujarat,January,17.9,53.0,0.7,0.5,219,26.11,Winter,22.8,Medium,Cholera
Chhattisgarh,July,35.1,91.7,108.4,2.14,1726,65.53,Monsoon,240.9,Medium,Malaria
Andhra Pradesh,August,35.6,97.0,166.3,2.96,72,72.9,Monsoon,455.8,Low,Cholera
Telangana,April,33.3,56.5,116.9,2.29,158,39.02,Summer,11.1,Medium,Dengue
Assam,July,31.4,97.0,420.0,6.09,564,49.56,Monsoon,28.8,Low,Cholera
Punjab,August,27.8,80.6,420.0,5.56,279,31.69,Monsoon,142.1,Medium,Dengue
Kerala,March,27.5,80.4,4.1,0.98,901,30.93,Summer,3.9,Low,Malaria
Rajasthan,January,26.1,20.0,1.1,1.01,161,26.1,Winter,21.6,Medium,Typhoid
West Bengal,October,26.0,94.3,17.2,0.72,115,28.2,Post-Monsoon,364.1,Low,Malaria
